"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0530049R";"Lycée général et technologique privé d'Avesnières";"PAYS DE LA LOIRE";"ensemble";9;43;55;-12;62;55;57
"0530068L";"Lycée polyvalent privé Haute Follis";"PAYS DE LA LOIRE";"ensemble";40;54;55;-1;58;54;64
"0530073S";"Lycée professionnel privé Don Bosco";"PAYS DE LA LOIRE";"ensemble";44;50;43;7;56;57;60
"0530079Y";"Lycée professionnel Léonard de Vinci - Lycée métiers de l'imprimerie et de la communication visuelle - Lycée métiers des véhicules et du transport";"PAYS DE LA LOIRE";"ensemble";37;55;49;6;57;56;65
"0530079Y";"Lycée professionnel Léonard de Vinci - Lycée métiers de l'imprimerie et de la communication visuelle - Lycée métiers des véhicules et du transport";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";37;53;47;6;55;53;62
"0530079Y";"Lycée professionnel Léonard de Vinci - Lycée métiers de l'imprimerie et de la communication visuelle - Lycée métiers des véhicules et du transport";"PAYS DE LA LOIRE";"dont apprentis";33;66;62;3;71;73;80
"0530778H";"Lycée professionnel Gaston Lesnard - Lycée des métiers du bâtiment";"PAYS DE LA LOIRE";"ensemble";55;62;56;6;64;69;69
"0530778H";"Lycée professionnel Gaston Lesnard - Lycée des métiers du bâtiment";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";61;50;41;9;55;59;53
"0530778H";"Lycée professionnel Gaston Lesnard - Lycée des métiers du bâtiment";"PAYS DE LA LOIRE";"dont apprentis";51;70;65;4;70;75;77
"0530904V";"Lycée professionnel privé Immaculée-Conception";"PAYS DE LA LOIRE";"ensemble";74;43;42;1;54;49;51
"0530949U";"Lycée polyvalent Raoul Vadepied";"PAYS DE LA LOIRE";"ensemble";45;51;43;8;55;54;56
"0530949U";"Lycée polyvalent Raoul Vadepied";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";46;43;35;8;47;44;47
"0530949U";"Lycée polyvalent Raoul Vadepied";"PAYS DE LA LOIRE";"dont apprentis";42;;;;;;
"0540015Y";"Lycée professionnel Entre Meurthe et Sânon - Lycée des métiers entre Meurthe-et-Sânon";"GRAND EST";"ensemble";51;37;38;-1;45;46;60
"0540030P";"Lycée polyvalent Alfred Mézières";"GRAND EST";"ensemble";44;15;27;-12;24;23;25
"0540032S";"Lycée professionnel Darche";"GRAND EST";"ensemble";34;33;34;-1;46;51;49
"0540034U";"Lycée général et technologique Ernest Bichat";"GRAND EST";"ensemble";51;63;59;4;49;65;66
"0540037X";"Lycée professionnel Paul Lapie";"GRAND EST";"ensemble";29;27;33;-7;35;41;45
"0540040A";"Lycée général et technologique Frédéric Chopin";"GRAND EST";"ensemble";46;58;56;2;61;66;71
"0540041B";"Lycée général et technologique Georges de La Tour";"GRAND EST";"ensemble";47;69;63;6;68;68;68
"0540042C";"Lycée général et technologique Henri Loritz";"GRAND EST";"ensemble";52;57;64;-7;65;60;64
"0540042C";"Lycée général et technologique Henri Loritz";"GRAND EST";"dont élèves en voie pro sco";58;52;58;-6;58;55;61
"0540042C";"Lycée général et technologique Henri Loritz";"GRAND EST";"dont apprentis";30;70;78;-8;80;73;70
"0540044E";"Lycée général et technologique Arthur Varoquaux";"GRAND EST";"ensemble";43;59;50;9;59;59;62
"0540058V";"Lycée général et technologique Jacques Marquette";"GRAND EST";"ensemble";42;42;54;-12;58;62;62
"0540060X";"Lycée professionnel La Tournelle";"GRAND EST";"ensemble";33;40;35;5;43;42;49
"0540060X";"Lycée professionnel La Tournelle";"GRAND EST";"dont élèves en voie pro sco";37;39;31;8;43;40;50
"0540060X";"Lycée professionnel La Tournelle";"GRAND EST";"dont apprentis";3;47;52;-6;47;50;47
"0540061Y";"Lycée Marie Marvingt - Lycée des métiers des services et du commerce";"GRAND EST";"ensemble";47;45;46;-1;50;51;55
"0540061Y";"Lycée Marie Marvingt - Lycée des métiers des services et du commerce";"GRAND EST";"dont élèves en voie pro sco";52;27;31;-4;36;39;44
"0540061Y";"Lycée Marie Marvingt - Lycée des métiers des services et du commerce";"GRAND EST";"dont apprentis";34;80;75;5;79;76;77
"0540066D";"Lycée général et technologique Louis Majorelle";"GRAND EST";"ensemble";34;60;60;0;72;60;80
"0540067E";"Lycée des métiers régional du Toulois";"GRAND EST";"ensemble";49;29;32;-3;39;36;43
"0540076P";"Lycée Polyvalent Jean Zay";"GRAND EST";"ensemble";50;39;44;-6;51;42;48
"0540076P";"Lycée Polyvalent Jean Zay";"GRAND EST";"dont élèves en voie pro sco";53;35;39;-4;50;40;47
"0540076P";"Lycée Polyvalent Jean Zay";"GRAND EST";"dont apprentis";37;52;64;-12;54;48;52
"0540081V";"Lycée professionnel Jean Prouvé - Lycée des métiers de la gestion et des process";"GRAND EST";"ensemble";44;52;52;0;63;60;59
"0540081V";"Lycée professionnel Jean Prouvé - Lycée des métiers de la gestion et des process";"GRAND EST";"dont élèves en voie pro sco";52;38;40;-1;52;49;45
"0540081V";"Lycée professionnel Jean Prouvé - Lycée des métiers de la gestion et des process";"GRAND EST";"dont apprentis";31;68;66;2;77;73;75
"0540082W";"Lycée professionnel Paul Louis Cyfflé - Lycée des métiers des industries graphiques et des services aux organisations";"GRAND EST";"ensemble";57;25;34;-9;38;37;45
"0540085Z";"Lycée professionnel Bertrand Schwartz - Lycée des métiers de la logistique et des services";"GRAND EST";"ensemble";36;31;39;-8;42;41;49
"0540086A";"Lycée professionnel Jean Morette";"GRAND EST";"ensemble";43;38;42;-4;43;40;47
"0540086A";"Lycée professionnel Jean Morette";"GRAND EST";"dont élèves en voie pro sco";48;34;35;-1;39;39;43
"0540086A";"Lycée professionnel Jean Morette";"GRAND EST";"dont apprentis";14;52;64;-12;58;45;58
"0541268K";"Etablissement régional d'enseignement adapté François Richard JOUBERT";"GRAND EST";"ensemble";30;24;16;8;24;33;48
"0541270M";"Lycée polyvalent Jean Hanzelet - Lycée des métiers des sciences et techniques de l'électricité et de la maintenance";"GRAND EST";"ensemble";51;35;37;-2;39;43;49
"0541286E";"Lycée général et technologique Louis Bertrand";"GRAND EST";"ensemble";28;53;55;-3;53;56;61
"0541338L";"Etablissement régional d'enseignement adapté Hubert Martin";"GRAND EST";"ensemble";21;15;21;-6;17;25;29
"0541344T";"Lycée professionnel privé Saint Michel - Lycée des métiers du transport, de l'automobile et de la domotique";"GRAND EST";"ensemble";40;70;58;12;73;77;85
"0541357G";"Lycée professionnel privé Notre Dame";"GRAND EST";"ensemble";61;35;34;2;35;35;32
"0541363N";"Lycée professionnel privé Pierre de Coubertin";"GRAND EST";"ensemble";67;35;39;-4;42;50;50
"0541364P";"Lycée professionnel privé Marie Immaculée";"GRAND EST";"ensemble";41;23;28;-5;35;35;44
"0541370W";"Lycée professionnel privé Claude Daunot";"GRAND EST";"ensemble";53;38;35;3;42;42;51
"0541377D";"Lycée professionnel privé Jean-Baptiste Vatelot";"GRAND EST";"ensemble";62;;;;;;
"0541605B";"Lycée professionnel Jean Marc Reiser";"GRAND EST";"ensemble";47;21;29;-9;22;18;27
"0541998D";"Lycée professionnel privé Charles de Foucauld";"GRAND EST";"ensemble";75;;;;;;
"0542161F";"Lycée technologique privé Pierre de Coubertin";"GRAND EST";"ensemble";35;55;55;0;56;53;56
"0542208G";"Lycée polyvalent Stanislas";"GRAND EST";"ensemble";48;57;49;7;59;54;63
"0542262R";"Lycée polyvalent  Emmanuel Héré - Lycée des métiers du bâtiment et de l'energie";"GRAND EST";"ensemble";56;43;43;0;52;52;54
"0542262R";"Lycée polyvalent  Emmanuel Héré - Lycée des métiers du bâtiment et de l'energie";"GRAND EST";"dont élèves en voie pro sco";56;43;43;1;52;51;54
"0542262R";"Lycée polyvalent  Emmanuel Héré - Lycée des métiers du bâtiment et de l'energie";"GRAND EST";"dont apprentis";;;;;;;
"0542293Z";"Lycée polyvalent Jacques-Marie Boutet de Monvel - lycée des métiers d'art et de la maîtrise de l'énergie électrique";"GRAND EST";"ensemble";47;32;38;-7;46;51;57
"0542295B";"Lycée technologique privé Saint Michel";"GRAND EST";"ensemble";33;54;54;0;50;58;54
"0542408Z";"Lycée général et technologique privé Charles de Foucauld";"GRAND EST";"ensemble";30;53;54;-1;51;58;57
"0550002D";"Lycée général et technologique Raymond Poincaré";"GRAND EST";"ensemble";43;45;54;-8;44;44;53
"0550003E";"Lycée professionnel Emile Zola";"GRAND EST";"ensemble";50;26;36;-9;33;40;45
"0550004F";"Lycée professionnel Ligier Richier";"GRAND EST";"ensemble";57;43;41;2;41;48;46
"0550008K";"Lycée polyvalent Henri Vogt";"GRAND EST";"ensemble";52;34;35;-2;46;53;49
"0550025D";"Lycée polyvalent Jean-Auguste Margueritte - lycée des métiers de la productique, des automatismes et des énergies renouvelables";"GRAND EST";"ensemble";37;50;49;1;55;50;55
"0550026E";"Lycée professionnel Alain-Fournier";"GRAND EST";"ensemble";42;32;39;-7;43;43;46
"0550049E";"Lycée général et technologique privé Sainte Anne";"GRAND EST";"ensemble";40;37;44;-8;49;56;68
"0550072E";"Lycée polyvalent Alfred Kastler";"GRAND EST";"ensemble";52;32;36;-5;30;30;37
"0550700M";"Lycée professionnel privé Notre Dame des Vertus";"GRAND EST";"ensemble";53;39;45;-6;50;50;52
"0550891V";"Lycée professionnel Eugène Freyssinet";"GRAND EST";"ensemble";44;39;36;3;42;41;51
"0550983V";"Lycée professionnel privé Sainte Anne";"GRAND EST";"ensemble";46;42;30;12;42;46;44
"0551032Y";"Lyceé professionnel privé Sainte Jeanne d'Arc";"GRAND EST";"ensemble";35;37;38;-1;51;46;51
"0560001X";"Lycée professionnel Bertrand du Guesclin - Lycée des métiers d'art";"BRETAGNE";"ensemble";62;27;36;-9;40;38;41
"0560008E";"Lycée professionnel Emile James - Lycée des métiers de la maintenance nautique - Lycée des métiers de la carrosserie";"BRETAGNE";"ensemble";48;54;45;9;46;51;58
"0560016N";"Lycée polyvalent Brocéliande - Lycée des métiers du transport, de la logistique - Lycée des métiers de la maintenance des véhicules industriels";"BRETAGNE";"ensemble";27;66;58;8;76;66;75
"0560019S";"Lycée professionnel Ampère";"BRETAGNE";"ensemble";52;40;36;4;42;42;49
"0560025Y";"Lycée général et technologique Dupuy de Lôme";"BRETAGNE";"ensemble";45;57;58;0;66;56;62
"0560026Z";"Lycée polyvalent Colbert";"BRETAGNE";"ensemble";49;62;56;7;69;66;71
"0560026Z";"Lycée polyvalent Colbert";"BRETAGNE";"dont élèves en voie pro sco";50;60;53;7;68;64;69
"0560026Z";"Lycée polyvalent Colbert";"BRETAGNE";"dont apprentis";30;81;80;1;71;76;81
"0560027A";"Lycée professionnel Marie Le Franc - Lycée des métiers de la vente - Lycée des métiers des services à la personne";"BRETAGNE";"ensemble";53;39;44;-5;50;49;54
"0560027A";"Lycée professionnel Marie Le Franc - Lycée des métiers de la vente - Lycée des métiers des services à la personne";"BRETAGNE";"dont élèves en voie pro sco";56;36;42;-5;48;49;53
"0560027A";"Lycée professionnel Marie Le Franc - Lycée des métiers de la vente - Lycée des métiers des services à la personne";"BRETAGNE";"dont apprentis";;;;;;;
"0560038M";"Lycée général et technologique Joseph Loth";"BRETAGNE";"ensemble";44;68;63;5;72;68;71
"0560039N";"Lycée professionnel du Blavet - Lycée des métiers du bâtiment et du confort de l'habitat";"BRETAGNE";"ensemble";51;53;41;12;58;56;70
"0560042S";"Lycée professionnel Julien Crozet";"BRETAGNE";"ensemble";55;34;36;-2;29;39;39
"0560051B";"Lycée general et technologique Alain Rene Lesage";"BRETAGNE";"ensemble";38;52;58;-6;67;61;73
"0560053D";"Lycée professionnel Jean Guéhenno";"BRETAGNE";"ensemble";45;38;43;-4;53;52;66
"0560053D";"Lycée professionnel Jean Guéhenno";"BRETAGNE";"dont élèves en voie pro sco";45;39;42;-4;54;52;66
"0560053D";"Lycée professionnel Jean Guéhenno";"BRETAGNE";"dont apprentis";;;;;;;
"0560070X";"Lycée professionnel Emile Zola - Lycée des métiers de la communication visuelle";"BRETAGNE";"ensemble";54;41;37;3;40;39;47
"0560096A";"Lycée général et technologique prive Sainte jeanne d'Arc";"BRETAGNE";"ensemble";47;;;;;;
"0560105K";"Lycée polyvalent privé La Mennais - Lycée des métiers de l'électricité et des services à l'entreprise";"BRETAGNE";"ensemble";53;65;53;12;70;68;77
"0560117Y";"Lycée général et technologique privé Saint Paul";"BRETAGNE";"ensemble";23;53;56;-3;63;51;69
"0560119A";"Lycée polyvalent privé Sainte Anne-Saint Louis";"BRETAGNE";"ensemble";52;47;41;7;54;51;59
"0560180S";"Lycée polyvalent privé Notre Dame de la Paix";"BRETAGNE";"ensemble";34;51;51;0;60;52;61
"0560181T";"Lycée polyvalent privé Saint Joseph - La Salle - Lycée des métiers de l'énergie";"BRETAGNE";"ensemble";50;44;46;-1;54;49;53
"0560182U";"Lycée polyvalent Jeanne d'Arc-Saint Ivy - Lycée des métiers de l'hôtellerie et du tourisme";"BRETAGNE";"ensemble";47;48;53;-4;64;52;67
"0560197K";"Lycée professionnel privé Saint Michel";"BRETAGNE";"ensemble";55;35;39;-4;45;49;55
"0560198L";"Lycée polyvalent privé Saint Joseph-La Salle - Lycée des métiers";"BRETAGNE";"ensemble";60;54;52;2;66;58;64
"0560199M";"Lycée professionnel privé Saint Georges";"BRETAGNE";"ensemble";62;40;44;-4;56;47;56
"0560200N";"Lycée polyvalent privé Notre Dame Le Ménimur - Lycée des métiers de la santé et du social";"BRETAGNE";"ensemble";45;34;41;-7;45;38;50
"0560217G";"Etablissement régional d'enseignement adapté Les Pins";"BRETAGNE";"ensemble";46;37;33;4;37;27;37
"0560217G";"Etablissement régional d'enseignement adapté Les Pins";"BRETAGNE";"dont élèves en voie pro sco";54;27;29;-2;23;14;27
"0560217G";"Etablissement régional d'enseignement adapté Les Pins";"BRETAGNE";"dont apprentis";;;;;;;
"0561507J";"Lycée professionnel Louis Armand";"BRETAGNE";"ensemble";60;43;34;10;50;45;60
"0561534N";"Lycée général et technologique Benjamin Franklin";"BRETAGNE";"ensemble";23;56;58;-2;74;67;72
"0561607T";"Lycée général et technologique Victor Hugo";"BRETAGNE";"ensemble";24;54;58;-4;67;72;72
"0561627P";"Lycée général et technologique Charles de Gaulle";"BRETAGNE";"ensemble";28;62;56;6;60;83;76
"0561641E";"Lycée polyv. Marcellin Berthelot - Lycée des métiers des matériaux plastiques et composites et des outillages";"BRETAGNE";"ensemble";39;57;53;4;56;61;69
"0561698S";"Lycée polyvalent Jean Macé";"BRETAGNE";"ensemble";60;38;40;-2;43;40;52
"0570021N";"Lycée polyvalent Charles Hermite";"GRAND EST";"ensemble";38;38;48;-10;36;38;45
"0570023R";"Lycée général et technologique Antoine de Saint-Exupéry";"GRAND EST";"ensemble";35;27;39;-12;33;27;36
"0570030Y";"Lycée polyvalent  Blaise Pascal - Lycée des métiers";"GRAND EST";"ensemble";37;34;44;-10;40;47;48
"0570030Y";"Lycée polyvalent  Blaise Pascal - Lycée des métiers";"GRAND EST";"dont élèves en voie pro sco";39;31;40;-8;35;44;46
"0570030Y";"Lycée polyvalent  Blaise Pascal - Lycée des métiers";"GRAND EST";"dont apprentis";31;43;55;-12;54;55;51
"0570051W";"Lycée professionnel Pierre et Marie Curie";"GRAND EST";"ensemble";47;30;31;-2;38;43;47
"0570057C";"Lycée général et technologique Robert Schuman";"GRAND EST";"ensemble";37;51;57;-6;49;53;53
"0570057C";"Lycée général et technologique Robert Schuman";"GRAND EST";"dont élèves en voie pro sco";40;49;55;-5;49;49;52
"0570057C";"Lycée général et technologique Robert Schuman";"GRAND EST";"dont apprentis";34;52;59;-6;49;56;53
"0570058D";"Lycée général et technologique Louis Vincent";"GRAND EST";"ensemble";48;56;54;2;55;63;63
"0570061G";"Lycée professionnel Alain Fournier - Lycée des métiers du sanitaire et du social";"GRAND EST";"ensemble";38;41;32;9;42;43;47
"0570061G";"Lycée professionnel Alain Fournier - Lycée des métiers du sanitaire et du social";"GRAND EST";"dont élèves en voie pro sco";39;41;29;12;43;43;48
"0570061G";"Lycée professionnel Alain Fournier - Lycée des métiers du sanitaire et du social";"GRAND EST";"dont apprentis";14;40;52;-12;32;36;32
"0570077Z";"Lycée professionnel Maryse Bastié";"GRAND EST";"ensemble";45;31;31;0;33;32;41
"0570085H";"Lycée polyvalent Jean-Victor Poncelet - Lycée des métiers du tertiaire";"GRAND EST";"ensemble";40;44;46;-2;51;54;54
"0570087K";"Lycée Charles Jully - Lycée des métiers et des technologies innovantes";"GRAND EST";"ensemble";56;38;39;-1;46;51;55
"0570094T";"Lycée polyvalent Mangin";"GRAND EST";"ensemble";42;45;49;-4;49;56;55
"0570095U";"Lycée professionnel Dominique Labroise";"GRAND EST";"ensemble";45;48;50;-2;59;60;66
"0570095U";"Lycée professionnel Dominique Labroise";"GRAND EST";"dont élèves en voie pro sco";52;36;40;-4;50;59;63
"0570095U";"Lycée professionnel Dominique Labroise";"GRAND EST";"dont apprentis";38;58;58;0;66;62;68
"0570098X";"Lycée général et technologique Jean de Pange";"GRAND EST";"ensemble";51;50;58;-8;48;47;47
"0570099Y";"Lycée Henri Nominé - Lycée des métiers des services aux entreprises";"GRAND EST";"ensemble";43;49;52;-3;53;53;57
"0570099Y";"Lycée Henri Nominé - Lycée des métiers des services aux entreprises";"GRAND EST";"dont élèves en voie pro sco";49;44;45;-1;51;49;54
"0570099Y";"Lycée Henri Nominé - Lycée des métiers des services aux entreprises";"GRAND EST";"dont apprentis";31;57;61;-5;56;60;61
"0570100Z";"Lycée professionnel Simon Lazard";"GRAND EST";"ensemble";42;38;42;-4;45;47;46
"0570108H";"Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques";"GRAND EST";"ensemble";45;35;44;-10;41;42;43
"0570108H";"Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques";"GRAND EST";"dont élèves en voie pro sco";48;30;39;-9;35;35;38
"0570108H";"Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques";"GRAND EST";"dont apprentis";28;51;62;-12;64;64;60
"0570124A";"Lycée professionnel René Cassin";"GRAND EST";"ensemble";52;25;35;-9;31;35;42
"0570144X";"Lycée professionnel Métiers du Bâtiment et Travaux publics";"GRAND EST";"ensemble";41;43;38;6;48;42;42
"0570146Z";"Lycée général et technologique Julie Daubié";"GRAND EST";"ensemble";51;24;36;-12;35;34;33
"0570210U";"Lycée technologique privé Notre Dame";"GRAND EST";"ensemble";23;50;51;-1;50;52;54
"0570225K";"Lycée professionnel privé Interentreprises";"GRAND EST";"ensemble";40;35;35;-1;52;52;47
"0570241C";"Lycée professionnel privé Saint Vincent de Paul";"GRAND EST";"ensemble";51;48;39;10;49;53;53
